target,trial,is_best_for_target,val_mae,val_wmae,best_iteration,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,gamma,reg_alpha,reg_lambda,use_sample_weights,weight_alpha,weight_p,weight_clip_max
target_bow_precision__full,58,0,0.04105647319803593,,127,600,6,0.1,0.8,1.0,1,0.3,0.1,2.0,0,5.0,2.0,50.0
target_bow_precision__full,59,0,0.03305515858940936,,340,400,5,0.02,0.6,0.8,1,0.0,0.0,0.5,0,5.0,2.0,50.0
target_bow_precision__full,60,0,0.035364199048820835,,64,800,6,0.1,0.6,1.0,5,0.0,0.5,2.0,0,5.0,2.0,50.0
target_bow_precision__full,61,0,0.033533304572745386,,399,400,5,0.02,0.6,1.0,10,0.0,0.5,0.5,0,5.0,2.0,50.0
target_bow_precision__full,62,0,0.036741577024240475,,239,1000,7,0.05,0.8,1.0,3,0.1,0.5,1.0,0,5.0,2.0,50.0
target_bow_precision__full,63,0,0.04080739624381637,,145,800,4,0.03,0.8,1.0,3,0.3,0.0,2.0,0,5.0,2.0,50.0
target_bow_precision__full,64,0,0.0377250288847449,,58,1600,6,0.05,1.0,0.8,3,0.1,0.0,1.0,0,5.0,2.0,50.0
target_bow_precision__full,65,0,0.04144430326100441,,117,1200,4,0.02,1.0,0.8,3,0.3,0.1,1.0,0,5.0,2.0,50.0
target_bow_precision__full,66,0,0.0399273374454271,,155,600,6,0.1,0.8,0.8,3,0.3,0.0,1.0,0,5.0,2.0,50.0
target_bow_precision__full,67,0,0.034506501135459396,,114,400,4,0.1,0.6,1.0,10,0.0,0.5,2.0,0,5.0,2.0,50.0
target_bow_precision__full,68,0,0.04161043266096399,,77,800,3,0.03,1.0,1.0,1,0.3,0.0,0.5,0,5.0,2.0,50.0
target_bow_precision__full,69,0,0.034265087691552024,,308,400,3,0.03,1.0,1.0,10,0.0,0.0,2.0,0,5.0,2.0,50.0
target_bow_precision__full,70,0,0.03696416657895821,,745,1000,5,0.02,0.6,1.0,5,0.1,0.5,0.5,0,5.0,2.0,50.0
target_bow_precision__full,71,0,0.04059726762956062,,295,1200,7,0.05,0.6,1.0,10,0.3,0.0,2.0,0,5.0,2.0,50.0
target_bow_precision__full,72,0,0.03736504827223639,,462,600,4,0.01,0.6,1.0,5,0.1,0.0,0.5,0,5.0,2.0,50.0
target_bow_precision__full,73,0,0.03400239805130697,,152,1200,5,0.05,1.0,0.8,10,0.0,0.1,2.0,0,5.0,2.0,50.0
target_bow_precision__full,74,0,0.041821628362344355,,79,1200,3,0.1,0.6,1.0,1,0.3,0.1,2.0,0,5.0,2.0,50.0
target_bow_precision__full,75,0,0.0335506992131016,,212,1200,3,0.05,0.6,1.0,1,0.0,0.1,2.0,0,5.0,2.0,50.0
target_bow_precision__full,76,0,0.037233052204483065,,68,1000,5,0.1,0.6,0.6,1,0.1,0.5,1.0,0,5.0,2.0,50.0
target_bow_precision__full,77,0,0.03656529187004878,,355,400,3,0.03,0.8,1.0,10,0.1,0.1,0.5,0,5.0,2.0,50.0
target_bow_precision__full,78,0,0.036957792847921875,,799,800,7,0.01,0.8,0.8,1,0.1,0.5,1.0,0,5.0,2.0,50.0
target_bow_precision__full,79,0,0.03598771199120173,,204,400,7,0.03,0.8,0.6,5,0.1,0.1,1.0,0,5.0,2.0,50.0
target_bow_precision__full,80,0,0.04146374963759433,,82,800,3,0.03,1.0,1.0,1,0.3,0.1,1.0,0,5.0,2.0,50.0
target_bow_precision__full,81,0,0.036984769897809064,,482,1000,3,0.02,0.8,0.6,3,0.1,0.1,1.0,0,5.0,2.0,50.0
target_bow_precision__full,82,0,0.03540602526830889,,91,1600,7,0.05,1.0,1.0,10,0.0,0.5,0.5,0,5.0,2.0,50.0
target_bow_precision__full,83,0,0.037227424912263794,,280,400,3,0.03,0.6,0.8,3,0.1,0.5,0.5,0,5.0,2.0,50.0
target_bow_precision__full,84,0,0.04115966476222833,,80,600,4,0.1,0.8,0.6,10,0.3,0.1,2.0,0,5.0,2.0,50.0
target_bow_precision__full,85,0,0.03674159825857758,,63,400,5,0.05,1.0,0.6,5,0.1,0.1,0.5,0,5.0,2.0,50.0
target_bow_precision__full,86,0,0.037570597161509435,,113,800,4,0.03,1.0,0.6,10,0.1,0.5,2.0,0,5.0,2.0,50.0
target_bow_precision__full,87,0,0.036080808200592535,,460,1200,7,0.02,0.8,1.0,1,0.1,0.1,2.0,0,5.0,2.0,50.0
target_bow_precision__full,88,0,0.03689911780053128,,62,800,6,0.05,1.0,0.8,1,0.1,0.0,2.0,0,5.0,2.0,50.0
